MouseID,Generation,SurvDays,Y1A_BW_BW,Y2A_BW_BW,Y3A_BW_BW,Y1_Glu.F_Glucose,Y2_Glu.F_Glucose,Y3_Glu.F_Glucose,Y1_Echo_BPM,Y2_Echo_BPM,Y3_Echo_BPM,Y1_Echo_CardiacOutput,Y2_Echo_CardiacOutput,Y3_Echo_CardiacOutput,Y1_CBC_Hgb,Y2_CBC_Hgb,Y3_CBC_Hgb,Y1_Rotarod_Mean,Y2_Rotarod_Mean,Y3_Rotarod_Mean,Y1_AS_MeanLog,Y2_AS_MeanLog,Y3_AS_MeanLog,Y1_Wheel_AvgSpeedLFC,Y2_Wheel_AvgSpeedLFC,Y3_Wheel_AvgSpeedLFC,Y1_Wheel_AvgDistLFC,Y2_Wheel_AvgDistLFC,Y3_Wheel_AvgDistLFC,Y1A_Grip_All,Y2A_Grip_All,Y3A_Grip_All,Y1A_Frailty_FrailtyAdj,Y2A_Frailty_FrailtyAdj,Y3A_Frailty_FrailtyAdj,Diet_num,Diet
DO-40-2162,28,1611,24.787141855881448,26.993229764016824,23.645309398452564,164.71383923101183,134.57276775648015,74.47932813485724,499.1746006179858,564.7746164086863,468.8188492289439,14095.195091313715,19460.552289392584,15789.789982336531,17.586397538766338,16.711946163209472,16.857304211964813,179.5986348131824,248.5896336942143,194.36110577629285,,1.2982614967476822,1.1865243246099455,0.5863676163109462,0.5616383301203078,1.7018093456176282,1.478391479362155,1.716888737231225,4.44840139849111,89.96266855978939,168.3899446355445,179.55861549932797,0.0328651266125038,0.1336157721711214,0.1595865141893575,1,40
DO-40-2179,28,1557,30.43275297195521,23.594598991240296,23.52993104111076,161.04385236421928,71.90138416136696,69.22642131342731,495.8417431645198,501.2569468873721,546.2912387086442,22808.598856596825,23332.50123265816,19757.590211409923,16.67488352963112,15.937684309660266,16.40375076303821,141.79404483041307,231.3978254751792,219.4638251571183,1.5042239018114376,1.2598914647022776,1.1410848487420246,0.2770910907242153,-0.0147025134052794,0.3251392882639861,1.8227217351702127,0.3483387184160627,0.7478016392347395,291.9100434200618,181.7413581169447,208.8337225646748,0.1832853610163499,0.2317816468101697,0.2350330813849903,1,40
DO-40-2181,28,1533,20.7475997390905,19.072889610294972,20.528352354036265,161.04385236421928,93.04889442443744,60.57516711489848,520.9490183854664,422.8784418937913,478.06031726809806,13842.538712903444,17801.158101484918,19356.080171731726,16.67488352963112,16.949428708008995,16.315871186040916,255.7749405130768,236.25415436391427,269.7411124757871,1.641902550952512,1.6013457437239524,1.1691818135171737,-0.126806639191585,-0.2964483171644401,-0.2994769887656791,0.2674351284735909,0.2049992231687021,0.1929288874737661,221.92204342006187,204.0783581169447,158.7997225646748,0.0694419756132874,0.2317816468101697,0.1970852862506362,1,40
DO-40-2187,28,1520,25.97781895601357,29.254445880869472,30.242503195320808,127.74719254750418,85.3588906924118,71.1489222464337,466.2107539240353,464.5869349067573,509.90681620069984,17454.496419756826,17257.23070905093,20352.691979614337,16.624241309054735,15.965918832863142,16.315871186040916,98.76202031854272,199.09449760461536,149.18988947306994,1.5130225772885129,1.44983911206968,1.2197685987133542,-0.1568737716742035,0.0075134009499015,-0.0443264742097877,0.9997951226888364,1.1461921651515743,0.924488217354394,145.67954342006186,223.1393581169447,208.8332225646748,0.1062946146261362,0.1746540758985337,0.2160591838178133,1,40
DO-40-2099,26,1638,24.24291169216539,23.626716608126205,22.9128337152783,166.52014964013998,72.69286651823256,59.96012326808524,464.78955819793,574.8732968053946,530.6561862087367,18536.30849025461,19515.43351222362,20256.99817160013,17.059475790379242,16.410144472208103,16.120658671761664,66.40724680249198,285.4010854490382,272.9179763070423,,1.5111645206312705,1.3645053334264774,0.1442313656199073,0.1625292938497815,0.3838184198644966,1.044482192328272,1.7769623629102815,2.179151820532367,261.7604705636448,173.95370890425883,153.35708211189885,0.1101729714910303,0.1558218669860551,0.2855732554537987,1,40
DO-40-2167,28,1406,24.467277839654564,25.248257457209696,23.10930041038917,164.71383923101183,87.47149489782322,73.51807766835404,467.01429188548434,562.596065275396,539.8480611708255,23218.16927198916,19583.37106517804,19848.38749250581,17.586397538766338,16.711946163209472,11.806135911145514,80.47239220194346,149.74905748819506,199.5031010702476,,1.395416381566828,1.2421805786304578,0.4818358707261201,0.0883307218637312,0.0927446540831688,1.680998390316727,0.5239196032315817,0.8944723186433372,172.7576685597894,113.88844463554452,116.42011549932798,0.1048749620707098,0.1866517100621503,0.2315963496475635,1,40
DO-40-2146,27,1463,27.809765648429185,25.8631574962498,26.732365839185057,158.2961698633154,79.93507382705083,89.49302867666674,460.859469417172,452.53892069799326,475.7364058888886,15923.49266906137,13476.86610074834,18466.037660852347,14.833043414499173,14.687852674071332,14.84464881903195,212.39603151176587,152.54586038732447,215.36951809861523,1.5690062889934466,1.5780102381301666,1.3319054141920086,0.265476379971342,0.034253280039411,0.194355139098906,1.255750846975097,1.03534523286465,0.9020785284914268,232.2843758093853,238.63385676651785,250.01592150561183,0.1066687396499348,0.1997790706712915,0.1041315807333067,1,40
DO-40-2126,26,1541,29.52351327441686,31.341861162484197,27.520383759830832,161.60317240344486,84.82852500075788,53.46230435579648,516.9963013528003,436.3629242920063,512.5327021187115,15957.043740374453,15244.254799522543,18298.726702212327,18.508363227200128,18.02463910972428,12.65362888127865,131.87232269300551,200.4305604268889,225.4463439991282,1.6444060753317569,1.4038895954059585,1.0851969593935251,-0.1742023849625775,-0.0665915893427429,-0.1112019824535477,0.2067502343162275,-0.1036053021347476,0.1400821580503371,197.28779476815924,171.74001843369973,99.64722227340307,0.0518821557534244,0.1723736054321237,0.1662888955955964,1,40
DO-40-2117,26,1533,25.63528004889909,28.4834400523658,28.1201590849728,146.16281044792652,68.65892812439265,67.8810613533445,449.1407527156641,484.8467046008992,428.03510609360313,20087.69301281956,15067.174782817336,17329.309490049316,16.248668657354884,16.511271279052664,15.013125517837548,267.20498351901443,243.63662966491955,160.0287372038149,1.7529757254429812,1.7631494490350743,1.5935308285252734,0.0341381549985897,0.3950641395705266,0.3489156148876597,1.1956063923146414,1.8729947799847355,0.9316123590499223,194.90529476815925,154.1685184336997,177.97472227340307,0.1897389756717708,0.1776001225863785,0.2480731835124649,1,40
DO-20-1136,27,1445,21.51446260659964,25.719705781095264,27.434466606876253,113.20592532330458,93.21399025170084,77.35121338772358,563.8133356415046,487.5479514737955,551.1606713398209,21362.972257500925,18058.33320683817,22376.661829484125,17.269392890176427,17.32366517974584,17.681892521911166,201.9002455735884,129.5651731080554,206.8015664193205,1.2324298198774202,1.1395476792857184,0.9800181332231732,-0.4486283548590476,0.3073839750577501,-0.0575839337425028,-0.4998875885025876,1.88316233834254,1.1312627229126848,260.48847411950965,148.1551764816102,114.55165729051078,0.0865439239200834,0.2200948441737956,0.1948199359043938,2,20
